threshold,precision,recall,f1,accuracy,auc
0.0,0.43,1.0,0.6,0.43,0.77
0.05,0.43,1.0,0.6,0.43,0.77
0.1,0.43,1.0,0.6,0.43,0.77
0.15,0.43,1.0,0.6,0.43,0.77
0.2,0.51,0.89,0.65,0.58,0.77
0.25,0.62,0.79,0.69,0.7,0.77
0.3,0.62,0.79,0.69,0.7,0.77
0.35,0.62,0.79,0.69,0.7,0.77
0.4,0.72,0.58,0.64,0.72,0.77
0.45,0.72,0.58,0.64,0.72,0.77
0.5,0.72,0.58,0.64,0.72,0.77
0.55,0.89,0.43,0.58,0.73,0.77
0.6,0.89,0.43,0.58,0.73,0.77
0.65,0.89,0.43,0.58,0.73,0.77
0.7,0.89,0.43,0.58,0.73,0.77
0.75,0.89,0.43,0.58,0.73,0.77
0.8,0.89,0.43,0.58,0.73,0.77
0.85,0.89,0.36,0.51,0.7,0.77
0.9,0.89,0.36,0.51,0.7,0.77
0.95,0.89,0.36,0.51,0.7,0.77
1.0,0.89,0.07,0.13,0.59,0.77
